portale,percentuale,data
Comune di Crispiano,46.764886465842636,2023-12-01 17:48:03.578632
Comune di Massafra,53.80764837929055,2023-12-01 17:48:04.111361
Comune di Bitonto,57.74284897516042,2023-12-01 17:52:28.170242
Comune di Crispiano,46.764886465842636,2023-12-01 17:52:29.428539
Comune di Massafra,53.80764837929055,2023-12-01 17:52:30.841884
Comune di Bitonto,57.74284897516042,2023-12-01 17:53:31.097482
Comune di Crispiano,46.764886465842636,2023-12-01 17:53:31.704658
Comune di Massafra,53.80764837929055,2023-12-01 17:53:32.253240
Comune di Bitonto,57.74284897516042,2023-12-01 17:53:56.697356
Comune di Crispiano,46.764886465842636,2023-12-01 17:53:57.236555
Comune di Massafra,53.80764837929055,2023-12-01 17:53:57.721970
Comune di Bitonto,57.74284897516042,2023-12-01 17:54:06.202591
Comune di Crispiano,46.764886465842636,2023-12-01 17:54:07.786462
Comune di Massafra,53.80764837929055,2023-12-01 17:54:09.198381
Comune di Bitonto,57.74284897516042,2023-12-01 17:54:27.111381
Comune di Crispiano,46.764886465842636,2023-12-01 17:54:28.217317
Comune di Massafra,53.80764837929055,2023-12-01 17:54:29.314843
Comune di Bitonto,57.74284897516042,2023-12-01 17:55:11.604464
Comune di Crispiano,46.764886465842636,2023-12-01 17:55:12.531014
Comune di Massafra,53.80764837929055,2023-12-01 17:55:13.506229
Comune di Bitonto,57.74284897516042,2023-12-01 17:57:04.727318
Comune di Crispiano,44.0140107913813,2023-12-01 17:57:05.267793
Comune di Massafra,53.80764837929055,2023-12-01 17:57:05.723162
Comune di Bitonto,57.74284897516042,2023-12-01 17:57:10.380829
Comune di Crispiano,44.0140107913813,2023-12-01 17:57:11.108974
Comune di Massafra,53.80764837929055,2023-12-01 17:57:11.698769
Comune di Bitonto,55.290666994758915,2023-12-02 15:21:05.662301
Comune di Crispiano,44.0140107913813,2023-12-02 15:21:06.256320
Comune di Massafra,53.80764837929055,2023-12-02 15:21:06.669828
Comune di Bitonto,55.290666994758915,2023-12-02 15:21:12.933991
Comune di Crispiano,44.0140107913813,2023-12-02 15:21:13.547621
Comune di Massafra,53.80764837929055,2023-12-02 15:21:14.005331
Comune di Bitonto,55.290666994758915,2023-12-02 15:31:04.947050
Comune di Crispiano,46.93787608839863,2023-12-02 15:31:05.568142
Comune di Massafra,53.80764837929055,2023-12-02 15:31:06.031428
Comune di Bitonto,52.83848501435742,2023-12-04 15:42:56.769127
Comune di Crispiano,46.93787608839863,2023-12-04 15:42:57.532976
Comune di Massafra,53.80764837929055,2023-12-04 15:42:57.980172
Comune di Bitonto,52.83848501435742,2023-12-04 15:43:01.647623
Comune di Crispiano,46.93787608839863,2023-12-04 15:43:02.228870
Comune di Massafra,53.80764837929055,2023-12-04 15:43:02.625513
Comune di Bitonto,58.85236752963599,2023-12-04 15:49:51.475723
Comune di Crispiano,46.93787608839863,2023-12-04 15:49:52.173868
Comune di Massafra,53.80764837929055,2023-12-04 15:49:52.995472
Comune di Bitonto,58.85236752963599,2023-12-04 15:54:32.981434
Comune di Crispiano,46.93787608839863,2023-12-04 15:54:33.928259
Comune di Massafra,57.46586664976897,2023-12-04 15:54:34.444231
Comune di Bitonto,58.85236752963599,2023-12-04 15:58:19.309865
